type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes
Nesanitarne deponije,44.632601,19.789862,1994,31,68200.0,68200.0,170500.0,2200.0,1.93,48.18
Nesanitarne deponije,45.136345,19.203782,1982,43,567944.0,567944.0,1419860.0,13208.0,13.98,349.48
Nesanitarne deponije,43.5672622,21.6806705,1989,36,396154.8,396154.8,990387.0,11004.3,10.56,263.94
Nesanitarne deponije,44.1143,21.731,1992,33,2125.0,2125.0,5312.5,64.39,0.06,1.47
Nesanitarne deponije,44.38174,20.20693,2004,21,148725.0,148725.0,371812.5,7082.14,4.73,118.28
Nesanitarne deponije,44.8861517,20.6257616,1964,61,4504775.0,4504775.0,11261937.5,73848.77,91.81,2295.32
Nesanitarne deponije,44.729943,21.193231,1985,40,448228.0,448228.0,1120570.0,11205.7,11.41,285.26
Nesanitarne deponije,43.678714,20.86053,2015,10,200000.0,200000.0,500000.0,20000.0,7.07,176.69
Nesanitarne deponije,44.643901,21.179896,1989,36,1056984.78,1056984.78,2642461.95,29360.69,28.17,704.23
Nesanitarne deponije,43.2965,19.9378,2008,17,127500.0,127500.0,318750.0,7500.0,4.24,106.1
Nesanitarne deponije,44.651648,20.951778,1971,54,2160000.0,2160000.0,5400000.0,40000.0,47.24,1181.12
Nesanitarne deponije,44.3825454,20.9979128,1990,35,0.0,0.0,0.0,0.0,0.0,0.0
Nesanitarne deponije,44.2700821,20.6796526,1970,55,440000.0,440000.0,1100000.0,8000.0,9.53,238.13
Nesanitarne deponije,45.0,18.0,1978,47,385400.0,385400.0,963500.0,8200.0,9.08,226.96
Nesanitarne deponije,45.22377,20.0215,1989,36,106308.0,106308.0,265770.0,2953.0,2.83,70.83
Nesanitarne deponije,45.18149,20.04076,1990,35,38430.0,38430.0,96075.0,1098.0,1.04,25.9
Nesanitarne deponije,45.29047,20.02215,1988,37,60310.0,60310.0,150775.0,1630.0,1.59,39.72
