type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes,center_x_px,center_y_px,image_name,radius
Wild,45.409983,19.2367454,2005,20,1320.0,1082.0,2705.0,66.0,0.04,1.06,448.5,413.85,tile_block_170_59.jpg,20.75
Wild,45.3023839,19.14542422,2005,20,1200.0,2050.0,5125.0,60.0,0.04,0.97,195.17,430.71,tile_block_193_45.jpg,28.56
Wild,45.3869371,19.0952971,2005,20,1087.0,1813.0,4532.5,54.35,0.03,0.87,71.45,161.73,tile_block_175_38.jpg,26.86
Wild,45.4191916,19.2978373,2005,20,4500.0,9504.0,23760.0,225.0,0.14,3.62,130.63,5.81,tile_block_169_69.jpg,61.49
Wild,45.4297499,19.1384068,2005,20,795.0,3181.0,7952.5,39.75,0.03,0.64,484.27,92.45,tile_block_166_44.jpg,35.58
Wild,45.4167064,19.110587,2005,20,375.0,1350.0,3375.0,18.75,0.01,0.3,322.06,466.75,tile_block_168_40.jpg,23.18
Wild,43.1561,22.0614,2005,20,2.0,150.0,375.0,0.1,0.0,0.0,462.96,333.59,tile_block_661_497.jpg,7.73
Wild,43.1376,22.118,2005,20,0.2,200.0,500.0,0.01,0.0,0.0,484.11,280.19,tile_block_665_506.jpg,8.92
Wild,43.1367,22.112,2005,20,2.0,150.0,375.0,0.1,0.0,0.0,509.48,386.63,tile_block_665_505.jpg,7.73
Wild,43.1723,21.9505,2005,20,1.0,150.0,375.0,0.05,0.0,0.0,130.09,178.82,tile_block_658_480.jpg,7.73
Wild,43.1985,21.9126,2005,20,0.5,30.0,75.0,0.03,0.0,0.0,89.83,375.51,tile_block_652_474.jpg,3.45
Wild,43.1919,21.9133,2005,20,0.2,18.0,45.0,0.01,0.0,0.0,154.7,83.84,tile_block_654_474.jpg,2.68
Wild,43.2177,22.0266,2005,20,1.0,200.0,500.0,0.05,0.0,0.0,109.74,183.98,tile_block_648_492.jpg,8.92
Wild,43.2268,22.0299,2005,20,1.0,200.0,500.0,0.05,0.0,0.0,365.32,194.1,tile_block_646_492.jpg,8.92
Wild,43.2228,22.0306,2005,20,0.5,200.0,500.0,0.03,0.0,0.0,427.64,125.61,tile_block_647_492.jpg,8.92
Wild,43.2224,22.03,2005,20,1.0,300.0,750.0,0.05,0.0,0.0,379.46,170.63,tile_block_647_492.jpg,10.93
Wild,43.154,22.0823,2005,20,2.0,200.0,500.0,0.1,0.0,0.0,117.2,33.05,tile_block_662_501.jpg,8.92
Wild,43.1939,21.9513,2005,20,10.0,1000.0,2500.0,0.5,0.0,0.01,167.86,339.34,tile_block_653_480.jpg,19.95
Wild,43.2035,21.9513,2005,20,0.5,16.0,40.0,0.03,0.0,0.0,155.74,297.23,tile_block_651_480.jpg,2.52
